Region	State	County	Nitrogen	MMI
8	North Dakota	Sargent	2215	47.67792967
8	North Dakota	Traill	1645	23.68096006
8	North Dakota	Stark	1089	56.07717181
8	North Dakota	Sioux	870	52.12642013
8	North Dakota	Ward	2420	3.528534583
8	North Dakota	Walsh	1014	15.51948581
8	North Dakota	Rolette	1575	31.1866768
8	North Dakota	Billings	533	24.30480318
8	North Dakota	Emmons	972	74.62692681
8	North Dakota	Pembina	558	28.56050329
8	North Dakota	Dunn	772	39.37489498
8	North Dakota	Grand Forks	671	35.18269276
8	North Dakota	Wells	3410	32.61081448
8	North Dakota	Mchenry	1425	25.49288315
8	North Dakota	Mchenry	1600	9.803626934
8	North Dakota	Cass	1559	29.33364706
8	North Dakota	Dunn	914	53.79263973
8	North Dakota	Eddy	2261	31.96596749
8	North Dakota	Steele	1128	41.01377107
8	North Dakota	Bowman	3823	20.34792905
8	North Dakota	Hettinger	1120	31.31949764
8	North Dakota	Sioux	812	72.16856455
8	North Dakota	Adams	1014	45.5931479
8	North Dakota	Slope	1089	32.87004715
8	North Dakota	Traill	1668	25.59787327
8	North Dakota	Mountrail	1713	39.98381976
8	North Dakota	Hettinger	1949	31.5815035
8	North Dakota	Oliver	864	41.82423624
8	North Dakota	Cavalier	725	17.57093572
8	North Dakota	Richland	1965	49.44090385
8	South Dakota	Shannon	1468	85.70178564
8	South Dakota	Lawrence	209	13.27653203
8	South Dakota	Corson	771	49.60053122
8	South Dakota	Deuel	3475	21.82616859
8	South Dakota	Mccook	1958	6.628503095
8	South Dakota	Tripp	920	26.9944547
8	South Dakota	Mellette	964	19.25118757
8	South Dakota	Butte	718	49.85751823
8	South Dakota	Ziebach	956	13.91275
8	South Dakota	Charles Mix	15625	9.283651069
8	South Dakota	Jackson	525	59.79117785
8	South Dakota	Perkins	1135	34.63563141
8	South Dakota	Campbell	3070	20.57224667
8	South Dakota	Todd	1166	34.07874584
8	South Dakota	Shannon	1613	22.95618045
8	South Dakota	Jackson	779	51.68703667
8	South Dakota	Perkins	1609	44.21382367
